sku_id,description,first_sale_date,last_sale_date,average_selling_price,total_units_sold,total_revenue
15059A,ENGLISH ROSE EDWARDIAN PARASOL,2009-12-01,2009-12-03,10.5,509.0,1567.0
15060B,FAIRY CAKE DESIGN UMBRELLA,2009-12-03,2011-11-18,5.541804008908686,1414.0,6444.9800000000005
15060b,FAIRY CAKE DESIGN UMBRELLA,2010-03-05,2011-11-20,8.362,5.0,41.81
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-03-19,2011-12-09,0.15623529411764706,3141.0,422.96
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2010-01-17,2011-03-28,0.12,32.0,3.84
16011,ANIMAL STICKERS,2009-12-04,2011-12-07,0.20955357142857142,3812.0,799.3199999999999
16012,FOOD/DRINK SPUNGE STICKERS,2009-12-02,2011-12-05,0.2094047619047619,2901.0,608.01
16014,SMALL CHINESE STYLE SCISSOR,2009-12-03,2011-12-09,0.39526881720430107,29355.0,9513.1
16015,MEDIUM CHINESE STYLE SCISSOR,2009-12-03,2011-11-17,0.4870769230769231,1572.0,711.38
16016,LARGE CHINESE STYLE SCISSOR,2009-12-03,2011-12-09,0.8401886792452831,2314.0,1870.7
16020C,CLEAR STATIONERY BOX SET,2009-12-07,2011-07-05,0.843,160.0,134.5
16033,MINI HIGHLIGHTER PENS,2009-12-10,2011-02-17,0.11639999999999999,15121.0,1544.52
16043,POP ART PUSH DOWN RUBBER,2009-12-16,2011-06-09,0.31846153846153846,2145.0,180.29999999999998
16044,POP-ART FLUORESCENT PENS,2010-01-07,2010-02-18,0.3,6193.0,389.22
16045,POPART WOODEN PENCILS ASST,2010-01-07,2011-12-05,0.049600000000000005,9312.0,429.44
16046,TEATIME PEN CASE & PENS,2009-12-04,2011-11-28,0.9443548387096774,10056.0,1223.5
16047,POP ART PEN CASE & PENS,2009-12-01,2010-10-24,0.9583870967741934,10612.0,1054.7
16048,TEATIME ROUND PENCIL SHARPENER,2009-12-07,2011-12-08,0.40254716981132077,3461.0,537.06
16049,TEATIME GEL PENS ASST,2009-12-04,2011-05-25,0.381875,3169.0,560.48
16050,TEATIME PENCIL WITH RUBBER,2010-02-16,2010-04-19,0.4,151.0,46.45
16051,TEATIME PENCIL W STAMP ASST,2009-12-10,2010-06-09,0.4325,941.0,84.69
16052,TEATIME PUSH DOWN RUBBER,2009-12-16,2011-06-09,0.5685714285714285,848.0,281.32
16053,POPART COL BALLPOINT PEN ASST,2010-01-07,2010-11-16,0.174,4313.0,185.73
16054,POPART RECT PENCIL SHARPENER ASST,2010-01-07,2011-12-04,0.17384615384615382,1210.0,159.0
16119,FUNKY GIRL ADDRESS BOOK,2009-12-10,2009-12-22,1.0325,273.0,130.71
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,2010-04-30,2011-05-25,2.25,52.0,72.5
16156L,"WRAP, CAROUSEL",2010-01-10,2011-12-02,0.42,950.0,399.0
16156N,"WRAP, FRIENDSHIP ON GREEN",2009-12-01,2010-06-21,0.42,1475.0,619.5
16156S,WRAP PINK FAIRY CAKES,2009-12-01,2011-12-08,0.41532219570405726,16661.0,6558.62
16161C,WRAP SPEED DEMONS,2009-12-01,2009-12-22,0.1,450.0,45.0
16161E,WRAP BOUDOIR,2009-12-07,2010-02-22,0.1,750.0,75.0
16161G,WRAP BAD HAIR DAY,2010-01-19,2011-11-24,0.1,975.0,97.5
16161M,WRAP  PINK FLOCK,2009-12-03,2010-12-02,0.41794871794871796,1050.0,439.0
16161P,WRAP ENGLISH ROSE,2009-12-01,2011-12-07,0.41895454545454547,13198.0,5435.4
16161U,"WRAP,SUKI AND FRIENDS",2009-12-01,2011-12-02,0.4180503144654088,10026.0,4084.92
16162L,THE KING GIFT BAG,2009-12-09,2011-09-13,0.7496666666666667,8101.0,570.4300000000001
16162M,THE KING GIFT BAG 25x24x12cm,2010-06-14,2011-11-27,0.42,88.0,36.96
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2009-12-09,2011-12-08,0.5918811881188119,1686.0,512.38
16168S,FUNKY MONKEY GIFT BAG SMALL,2009-12-10,2010-02-05,0.31363636363636366,1283.0,126.82999999999998
16169A,WRAP CHRISTMAS DECOUPAGE,2010-04-29,2010-04-29,0.42,25.0,10.5
16169C,WRAP BLUE REINDEER,2009-12-01,2010-11-04,0.42,1350.0,567.0
16169D,WRAP WINTER FOREST,2009-12-01,2009-12-13,0.42,250.0,105.0
16169E,WRAP 50'S  CHRISTMAS,2011-07-21,2011-12-09,0.41919999999999996,4563.0,1892.46
16169F,WRAP BLIZZARD,2009-12-01,2010-10-17,0.42,975.0,409.5
16169G,WRAP ROMANTIC DECOUPAGE,2009-12-10,2009-12-10,0.42,25.0,10.5
16169K,WRAP FOLK ART,2009-12-04,2011-09-28,0.3625,2075.0,658.75
16169M,WRAP DAISY CARPET,2009-12-03,2011-12-02,0.35483333333333333,2060.0,640.95
16169N,WRAP BLUE RUSSIAN FOLKART,2009-12-01,2010-12-06,0.3501785714285714,2025.0,626.25
16169P,WRAP GREEN RUSSIAN FOLKART,2009-12-04,2010-12-19,0.3577083333333333,1750.0,533.75
16192,PINK BALLET OPENING CUBE BOX,2009-12-18,2009-12-18,4.3,3.0,12.899999999999999
16201A,PASTEL PINK PHOTO ALBUM,2009-12-02,2010-09-09,3.7744444444444443,101.0,213.37
16201B,PASTEL BLUE PHOTO ALBUM,2009-12-02,2009-12-10,2.838,34.0,81.1
16202A,PASTEL PINK PHOTO ALBUM,2009-12-02,2011-04-17,4.4852380952380955,662.0,290.45
16202B,PASTEL BLUE PHOTO ALBUM,2009-12-02,2011-04-19,4.7690909090909095,1039.0,528.56
16202C,BEIGE PHOTO ALBUM,2009-12-02,2010-05-06,3.9766666666666666,97.0,230.59
16202E,BLACK PHOTO ALBUM,2009-12-02,2011-04-17,3.395,82.0,162.73
16206B,RED PURSE WITH PINK HEART,2010-01-31,2011-01-26,1.23125,96.0,116.4
16207A,PINK STRAWBERRY HANDBAG,2009-12-01,2011-11-06,3.001578947368421,143.0,423.53000000000003
16207B,PINK HEART RED HANDBAG,2009-12-11,2011-08-30,2.654782608695652,265.0,457.65000000000003
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,2009-12-02,2010-11-12,1.6778048780487806,366.0,287.01
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,2009-12-03,2009-12-03,0.65,8.0,5.2
16216,LETTER SHAPE PENCIL SHARPENER,2009-12-04,2011-12-07,0.21955056179775279,4158.0,371.64
16218,CARTOON  PENCIL SHARPENERS,2009-12-08,2011-12-09,0.4536734693877551,4629.0,448.13
16219,HOUSE SHAPE PENCIL SHARPENER,2009-12-06,2011-12-08,0.555703125,3357.0,499.55
16225,RATTLE SNAKE EGGS,2009-12-01,2011-12-09,1.5598192771084338,1520.0,1271.66
16235,RECYCLED PENCIL WITH RABBIT ERASER,2009-12-01,2011-12-09,0.3089808917197452,5827.0,1333.95
16236,KITTY PENCIL ERASERS,2009-12-02,2011-12-08,0.30335849056603775,2652.0,593.29
16237,SLEEPING CAT ERASERS,2009-12-01,2011-12-09,0.2964957264957265,10385.0,2233.15
16238,PARTY TIME PENCIL ERASERS,2009-12-01,2011-12-08,0.30966244725738395,2447.0,559.54
16239,BALLERINA HEART DECORATION.,2009-12-02,2010-03-02,2.6557142857142857,347.0,492.17
16243B,BROWN COZY SQUARE PHOTO ALBUM,2009-12-02,2010-03-11,5.49625,212.0,441.77
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,2009-12-02,2010-03-15,4.073571428571428,186.0,479.40999999999997
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2009-12-03,2011-05-11,3.872068965517241,345.0,765.02
16245A,PINK MINI STATIONERY SET W CASE,2010-03-10,2010-07-12,1.25,11.0,13.75
16248B,BLUE HOLE PUNCH,2010-09-20,2011-10-30,1.25,81.0,101.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2010-01-11,2011-11-30,1.2665853658536586,941.0,305.66
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,2009-12-04,2010-06-10,0.5841666666666667,524.0,232.35
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,2009-12-13,2010-05-23,0.42000000000000004,169.0,70.98
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2009-12-11,2011-12-08,0.5233009708737864,1063.0,375.93
16258B,DAISY ERASERS IN BAG,2009-12-02,2009-12-22,0.36,1016.0,221.06
16259,PIECE OF CAMO STATIONERY SET,2009-12-07,2011-11-13,0.14618181818181816,5473.0,766.09
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,2009-12-04,2011-02-28,0.27956521739130435,1211.0,299.34999999999997
17003,BROCADE RING PURSE,2009-12-01,2011-12-08,0.3027272727272727,70369.0,14766.42
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2009-12-14,2011-06-08,2.1,34.0,71.4
17011A,ORIGAMI VANILLA INCENSE+FLOWER,2009-12-22,2010-08-20,2.7708333333333335,261.0,179.56
17011B,ORIGAMI JASMINE INCENSE+FLOWER,2010-05-30,2010-08-20,1.2,19.0,11.100000000000001
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2009-12-14,2009-12-16,2.475,335.0,221.4
17011D,ORIGAMI ROSE INCENSE+FLOWER,2009-12-15,2010-08-20,1.8375,209.0,135.70000000000002
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,2009-12-16,2009-12-16,0.65,124.0,80.60000000000001
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2009-12-16,2011-05-19,2.12,385.0,336.20000000000005
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2009-12-01,2011-12-02,2.225520833333333,726.0,806.16
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2009-12-08,2011-11-30,2.1927777777777773,721.0,867.4499999999999
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2010-02-05,2011-12-08,2.016725663716814,856.0,950.4
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2010-03-12,2011-12-08,1.9451724137931032,520.0,658.7199999999999
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2009-12-16,2010-12-15,2.488965517241379,263.0,296.78999999999996
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2010-03-03,2011-12-08,1.8778504672897196,586.0,680.65
17013B,ORIGAMI JASMINE INCENSE IN TUBE,2009-12-09,2009-12-16,1.7066666666666668,256.0,221.03
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2009-12-16,2010-03-03,0.42,213.0,89.46000000000001
17013D,ORIGAMI ROSE INCENSE IN TUBE,2009-12-09,2011-06-07,1.7083870967741936,1068.0,572.4
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,2009-12-21,2010-08-20,1.38,62.0,26.7
17014A,ORIGAMI VANILLA INCENSE CONES,2009-12-09,2011-06-27,1.66,276.0,170.13
17014C,ORIGAMI LAVENDER INCENSE CONES,2009-12-05,2009-12-10,1.925,97.0,43.75
17014D,ORIGAMI ROSE INCENSE CONES,2010-01-14,2010-08-20,1.7966666666666664,479.0,204.36
17014E,ORIGAMI OPIUM INCENSE CONES,2010-05-10,2010-08-20,1.4249999999999998,95.0,36.599999999999994
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,2010-01-21,2010-08-20,1.3125,61.0,23.699999999999996
17021,NAMASTE SWAGAT INCENSE,2010-01-22,2011-12-05,0.2949397590361446,3720.0,984.24
17027A,INCENSE BAZAAR CANNABIS,2010-02-04,2010-03-10,0.355,228.0,84.84
17028J,INCENSE BAZAAR PEACH,2011-01-31,2011-01-31,0.42,6.0,2.52
17033,"BROCADE PURSE,SMALL ARCH BUTTON",2009-12-02,2010-10-19,0.28536231884057967,3280.0,867.8399999999999
17038,PORCELAIN BUDAH INCENSE HOLDER,2009-12-14,2011-12-09,0.4290909090909091,2559.0,254.51000000000002
17039,INLAID WOOD INCENSE HOLDER,2009-12-02,2010-08-09,0.3774418604651163,3707.0,837.88
17061,ASSORTED SHAPED STENCIL FOR HENNA,2009-12-07,2009-12-07,0.04,52.0,2.08
17084A,TRANQUILITY MASALA INCENSE,2010-02-04,2011-09-13,0.21,442.0,92.82
17084G,MOON INCENSE,2009-12-02,2009-12-07,0.21,50.0,10.5
17084J,LOVE POTION MASALA INCENSE,2009-12-01,2011-09-13,0.21000000000000002,456.0,95.76
17084N,FAIRY DREAMS INCENSE,2009-12-02,2011-12-09,0.34598930481283424,2768.0,640.26
17084P,DRAGONS BLOOD INCENSE,2009-12-07,2011-12-08,0.34428571428571425,990.0,222.75
17084R,ASSORTED INCENSE PACK,2009-12-02,2011-12-05,0.20318181818181819,10625.0,1968.45
17090A,LAVENDER INCENSE 40 CONES IN TIN,2009-12-10,2011-11-24,1.2038461538461538,173.0,182.65
17090D,VANILLA INCENSE 40 CONES IN TIN,2009-12-13,2011-07-11,1.2366666666666668,88.0,105.2
17091A,LAVENDER INCENSE IN TIN,2009-12-06,2011-05-18,1.029059829059829,2085.0,1285.8899999999999
17091B,JASMINE TEA INCENSE IN TIN,2009-12-06,2010-09-09,1.4219230769230768,276.0,316.98
17091F,SANDALWOOD INCENSE IN TIN,2009-12-06,2010-01-10,1.58,19.0,27.71
17091J,VANILLA INCENSE IN TIN,2009-12-01,2011-12-09,0.8962295081967213,3964.0,2204.35
17096,ASSORTED LAQUERED INCENSE HOLDERS,2009-12-02,2011-07-19,0.3223684210526316,6240.0,1117.0900000000001
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2009-12-04,2011-12-05,2.55,315.0,803.25
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,2009-12-01,2010-03-28,0.42,355.0,149.1
17109A,FLOWER FAIRY INCENSE LILY,2009-12-02,2010-03-26,1.1861538461538461,709.0,333.61
17109B,FLOWER FAIRY INCENSE LAVENDER,2009-12-02,2010-03-05,1.316470588235294,4542.0,896.3399999999999
17109C,FLOWER FAIRY INCENSE ROSE,2009-12-02,2010-03-03,1.238,3124.0,661.23
17109D,FLOWER FAIRY INCENSE BOUQUET,2009-12-04,2011-04-21,1.406153846153846,1257.0,598.3100000000001
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,2009-12-09,2010-05-04,0.8309090909090909,86.0,57.98
17129D,CLEAR COLOUR GLASS GEMS IN BAG,2009-12-01,2010-03-05,1.2087179487179487,1125.0,1351.1799999999998
17129F,DEEP BLUE GLASS GEMS IN BAG,2009-12-04,2011-12-05,1.4021232876712328,1580.0,1684.58
17136A,BLUE STONES ON WIRE FOR CANDLE,2009-12-03,2011-11-03,0.10676470588235294,743.0,61.78
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,2009-12-01,2011-01-26,0.4168292682926829,1620.0,646.56
17164D,ASS COL SMALL SAND FROG P'WEIGHT,2009-12-01,2010-03-19,0.41516129032258065,1150.0,447.0
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,2009-12-01,2010-10-10,1.0298360655737704,810.0,751.6800000000001
17165D,ASS COL LARGE SAND FROG P'WEIGHT,2009-12-01,2011-01-12,1.0346236559139785,716.0,682.32
17174,ASSTD RASTA KEY-CHAINS,2010-02-01,2011-11-24,0.42,36.0,15.120000000000001
17178,FLAT PALM T-LIGHT HOLDER,2009-12-08,2010-09-16,1.234,133.0,156.65
17181,CIRCLE OF FRIENDS CANDLE HOLDER,2009-12-01,2010-08-05,3.771641791044776,353.0,642.66
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2009-12-09,2011-12-04,3.75,33.0,123.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2009-12-02,2011-07-20,0.242972972972973,11396.0,1043.22
18010,ASSORTED FRAGRANCE BATH CONFETTI,2009-12-01,2010-01-28,0.5566666666666666,64.0,30.16
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,2009-12-02,2011-10-07,1.8870408163265306,433.0,600.66
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,2009-12-01,2010-02-24,3.4455,117.0,298.7
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,2009-12-01,2010-01-25,5.151666666666666,8.0,41.14
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2010-03-05,2011-06-22,2.55,17.0,43.349999999999994
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,2009-12-02,2010-01-17,2.55,7.0,17.849999999999998
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2009-12-01,2011-12-08,2.8269339622641505,1763.0,3924.9199999999996
18098A,PINK PORCELAIN B'FLY OIL BURNER,2009-12-14,2009-12-17,2.95,2.0,5.9
18098B,BLUE PORCELAIN B'FLY OIL BURNER,2009-12-13,2010-02-24,2.9500000000000006,3.0,8.850000000000001
18098C,PORCELAIN BUTTERFLY OIL BURNER,2009-12-01,2011-08-08,3.2679012345679013,1223.0,3231.13
18098c,PORCELAIN BUTTERFLY OIL BURNER,2009-12-01,2010-12-21,5.067333333333333,292.0,1479.61
20615,BLUE SPOTTY PASSPORT COVER,2009-12-01,2011-12-08,2.625306122448979,637.0,1077.81
20616,CHERRY BLOSSOM PASSPORT COVER,2009-12-01,2011-12-08,2.0985123966942147,283.0,449.26
20617,FIRST CLASS PASSPORT COVER,2009-12-02,2011-12-08,2.3980952380952383,498.0,992.99
20618,QUEEN OF THE SKIES PASSPORT COVER,2009-12-01,2011-12-06,2.278905109489051,297.0,648.54
20619,TROPICAL PASSPORT COVER,2009-12-01,2011-12-05,2.341494845360825,578.0,1014.42
20620,RED SPOTTY PASSPORT COVER,2009-12-02,2010-02-03,4.104285714285714,15.0,61.76
20621,ECONOMY PASSPORT COVER,2009-12-02,2010-09-02,2.3584848484848484,207.0,451.67
20622,VIPPASSPORT COVER,2009-12-01,2011-12-05,2.634453125,582.0,1127.59
20652,BLUE SPOTTY LUGGAGE TAG,2009-12-01,2011-12-08,1.410635838150289,1516.0,1027.29
20653,CHERRY BLOSSOM LUGGAGE TAG,2009-12-02,2011-12-05,1.3807407407407408,2004.0,528.77
20654,FIRST CLASS LUGGAGE TAG,2009-12-01,2011-12-08,1.3760330578512396,398.0,505.41
20655,QUEEN OF SKIES LUGGAGE TAG,2009-12-01,2011-12-04,1.70125,414.0,608.48
20657,TROPICAL LUGGAGE TAG,2009-12-01,2011-11-11,1.3230508474576272,1877.0,726.47
20658,RED SPOTTY LUGGAGE TAG,2009-12-01,2011-09-26,1.6826256983240224,1584.0,2251.36
20659,ECONOMY LUGGAGE TAG,2009-12-01,2011-12-09,1.5739285714285713,369.0,533.51
20660,VIP LUGGAGE TAG,2009-12-01,2010-08-01,1.25,71.0,88.75
20661,BLUE SPOTTY PURSE,2009-12-01,2011-12-01,3.006048387096774,898.0,980.0600000000001
20662,FIRST CLASS HOLIDAY PURSE,2009-12-06,2011-10-24,2.718571428571429,728.0,471.33000000000004
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2009-12-10,2011-10-17,2.5777272727272726,1074.0,369.41
20664,TROPICAL HOLIDAY PURSE,2009-12-15,2011-08-30,2.712903225806452,57.0,155.41
20665,RED SPOTTY PURSE,2009-12-01,2011-12-09,3.8144985673352436,1335.0,4256.34
20666,ECONOMY HOLIDAY PURSE,2009-12-08,2011-07-20,2.408478260869565,911.0,412.45000000000005
20667,CHERRY BLOSSOM PURSE,2009-12-17,2011-08-30,2.6437500000000003,40.0,108.69
20668,DISCO BALL CHRISTMAS DECORATION,2009-12-02,2011-12-09,0.16567204301075267,20951.0,2454.88
20669,RED HEART LUGGAGE TAG,2009-12-02,2011-12-09,1.595590909090909,797.0,1111.89
20670,VIP HOLIDAY PURSE,2009-12-08,2011-11-15,2.8625000000000003,694.0,378.85
20671,BLUE TEATIME PRINT BOWL,2009-12-02,2010-12-09,1.5767832167832168,786.0,1038.72
20672,PINK TEATIME PRINT BOWL,2009-12-02,2010-03-05,1.75,138.0,201.0
20673,STRAWBERRIES PRINT BOWL,2009-12-01,2009-12-03,1.25,5.0,6.25
20674,GREEN SPOTTY BOWL,2009-12-01,2011-12-08,1.5062017167381974,3412.0,4348.52
20675,BLUE SPOTTY BOWL,2009-12-01,2011-12-08,1.507034383954155,6465.0,8067.83
20676,RED SPOTTY BOWL,2009-12-01,2011-12-08,1.5504423868312758,10475.0,13105.7
20677,PINK SPOTTY BOWL,2009-12-01,2011-12-08,1.5826007802340702,7774.0,9798.06
20678,LARGE BLACK DIAMANTE HAIRSLIDE,2011-09-23,2011-09-23,1.65,4.0,6.6
20679,EDWARDIAN PARASOL RED,2009-12-01,2011-12-09,6.662262569832403,6149.0,30020.97
20680,PINK FLOWERS CHILDS UMBRELLA,2009-12-10,2010-01-22,3.25,6.0,19.5
20681,PINK SPOTTY CHILDS UMBRELLA,2009-12-01,2011-03-10,3.8498250728862975,1405.0,4757.15
20682,RED SPOTTY CHILDS UMBRELLA,2009-12-01,2011-12-08,3.8574704890387856,3068.0,10171.31
20683,RAIN GIRL CHILDS UMBRELLA,2009-12-11,2009-12-11,3.25,1.0,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,2009-12-01,2011-07-22,3.5827683615819206,580.0,1910.06
20685,RED SPOTTY COIR DOORMAT,2009-12-01,2011-12-09,8.403582175925926,9783.0,66417.47
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2009-12-02,2011-12-08,3.713978494623656,590.0,2002.84
20688,BEAUTY SPEED EXPRESSO CUPS,2009-12-04,2010-03-17,6.004545454545454,464.0,332.9
20689,RETRO SISTERS EXPRESSO CUPS,2009-12-07,2010-07-14,6.176585365853659,429.0,614.1
20692,FLORAL ELEPHANT SOFT TOY,2009-12-01,2010-09-08,4.892127659574468,908.0,3682.76
20693,FLORAL DINOSAUR GREEN,2009-12-02,2010-03-14,5.207777777777778,33.0,161.89000000000001
20694,FLORAL PINK MONSTER,2009-12-01,2011-11-22,4.398363636363636,166.0,622.33
20695,FLORAL BLUE MONSTER,2009-12-01,2011-11-17,4.856393442622951,142.0,604.58
20696,FLORAL SOFT CAR TOY,2009-12-02,2011-11-11,4.625666666666667,151.0,617.9399999999999
20697,LITTLE GREEN MONSTER SOFT TOY,2009-12-13,2011-11-23,2.507142857142857,40.0,96.6
20698,LITTLE PINK MONSTER SOFT TOY,2010-01-17,2011-11-23,2.509090909090909,47.0,114.44999999999999
20699,MOUSEY LONG LEGS SOFT TOY,2009-12-04,2011-12-05,3.062134831460674,294.0,797.9599999999999
20700,GREEN CAT FLORAL CUSHION COVER,2009-12-07,2011-09-28,5.4233980582524275,420.0,1125.05
20701,PINK CAT FLORAL CUSHION COVER,2009-12-02,2011-06-30,4.416,353.0,721.49
20702,PINK PADDED MOBILE,2009-12-03,2011-10-26,4.303225806451613,782.0,3296.7
20703,BLUE PADDED SOFT MOBILE,2009-12-01,2011-04-14,4.2601775147928995,471.0,1993.47
20704,MR ROBOT SOFT TOY,2009-12-06,2011-12-09,6.370875,361.0,1371.42
20705,MRS ROBOT SOFT TOY,2009-12-07,2011-12-06,5.42622641509434,273.0,996.19
20707,CRAZY DAISY HEART DECORATION,2009-12-04,2011-12-05,1.22405,1613.0,1243.68
20711,JUMBO BAG TOYS,2009-12-01,2011-12-01,2.726691943127962,12643.0,25719.13
20712,JUMBO BAG WOODLAND ANIMALS,2009-12-01,2011-12-09,2.738984593837535,17710.0,37499.37
20713,JUMBO BAG OWLS,2009-12-01,2011-12-09,2.5839698113207543,20814.0,40667.05
20714,POSY SHOPPER BAG,2009-12-01,2010-01-12,0.9467857142857142,1580.0,649.8199999999999
20715,LITTLE FLOWER SHOPPER BAG,2010-01-07,2010-01-07,1.06,400.0,424.0
20716,PARTY FOOD SHOPPER BAG,2009-12-01,2011-06-29,1.4443373493975904,1533.0,1925.04
20717,STRAWBERRY SHOPPER BAG,2009-12-04,2011-12-09,1.5932549019607842,6296.0,7767.48
20718,RED SPOTTY SHOPPER BAG,2009-12-01,2011-12-09,1.655369458128079,13353.0,17457.35
20719,WOODLAND CHARLOTTE BAG,2009-12-01,2011-12-09,1.1526611883691529,24479.0,27598.42
20721,OWLS CHARLOTTE BAG,2009-12-07,2009-12-07,0.85,1.0,0.85
20723,STRAWBERRY CHARLOTTE BAG,2009-12-01,2011-12-09,1.1350252343186733,18296.0,20401.05
