sku_id,description,category,subcategory,launch_date,unit_cost,list_price
85152,HAND OVER THE CHOCOLATE   SIGN ,Home Decor,Home Decor,2009-12-01,1.21,2.1
85014B,RED RETROSPOT UMBRELLA,General Merchandise,General Merchandise,2009-12-01,3.76,5.95
22865,HAND WARMER OWL DESIGN,Home Decor,Home Decor,2010-09-10,1.32,2.1
48184,DOORMAT ENGLISH ROSE ,Home Decor,Home Decor,2009-12-01,3.64,7.95
23245,SET OF 3 REGENCY CAKE TINS,Storage,Storage,2011-06-08,2.32,4.95
21479,WHITE SKULL HOT WATER BOTTLE ,Home & Living,Home & Living,2009-12-01,1.91,3.75
22697,GREEN REGENCY TEACUP AND SAUCER,Kitchen & Dining,Kitchen & Dining,2010-08-11,1.76,2.95
20679,EDWARDIAN PARASOL RED,General Merchandise,General Merchandise,2009-12-01,2.71,5.95
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,1.85,3.75
21217,RED RETROSPOT ROUND CAKE TINS,Storage,Storage,2009-12-01,5.04,9.95
47590B,PINK HAPPY BIRTHDAY BUNTING,Storage,Storage,2009-12-07,3.05,5.45
22501,PICNIC BASKET WICKER LARGE,General Merchandise,General Merchandise,2010-05-21,5.93,9.95
23199,JUMBO BAG APPLES,Bags,Bags,2011-04-11,1.31,2.08
22659,LUNCH BOX I LOVE LONDON,Storage,Storage,2010-03-14,0.92,1.95
22158,3 HEARTS HANGING DECORATION RUSTIC,Party & Decor,Party & Decor,2009-12-03,1.65,2.95
22622,BOX OF VINTAGE ALPHABET BLOCKS,Storage,Storage,2010-05-07,6.06,9.95
48188,DOORMAT WELCOME PUPPIES,Home Decor,Home Decor,2009-12-01,4.68,7.95
23355,HOT WATER BOTTLE KEEP CALM,Home & Living,Home & Living,2011-08-22,2.64,4.95
22188,BLACK HEART CARD HOLDER,Stationery,Stationery,2009-12-14,2.43,3.95
84978,HANGING HEART JAR T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-04,0.6,1.25
22866,HAND WARMER SCOTTY DOG DESIGN,Home Decor,Home Decor,2010-09-10,1.05,2.1
21977,PACK OF 60 PINK PAISLEY CAKE CASES,General Merchandise,General Merchandise,2009-12-01,0.28,0.55
82583,HOT BATHS METAL SIGN,Home Decor,Home Decor,2009-12-01,1.18,2.1
22492,MINI PAINT SET VINTAGE ,General Merchandise,General Merchandise,2010-05-06,0.34,0.65
20719,WOODLAND CHARLOTTE BAG,Bags,Bags,2009-12-01,0.45,0.85
22467,GUMBALL COAT RACK,General Merchandise,General Merchandise,2010-03-04,1.33,2.55
21930,JUMBO STORAGE BAG SKULLS,Bags,Bags,2009-12-01,1.23,1.95
82483,WOOD 2 DRAWER CABINET WHITE FINISH,General Merchandise,General Merchandise,2009-12-01,3.37,5.95
72741,GRAND CHOCOLATECANDLE,Lighting & Candles,Lighting & Candles,2009-12-01,0.93,1.45
22624,IVORY KITCHEN SCALES,Kitchen & Dining,Kitchen & Dining,2010-05-04,4.69,8.5
84991,60 TEATIME FAIRY CAKE CASES,General Merchandise,General Merchandise,2009-12-01,0.32,0.55
23201,JUMBO BAG ALPHABET,Bags,Bags,2011-04-11,1.29,2.08
20750,RED RETROSPOT MINI CASES,General Merchandise,General Merchandise,2009-12-01,5.0,7.95
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,Seasonal & Christmas,Seasonal & Christmas,2010-09-16,1.54,2.89
71459,HANGING JAM JAR T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-02,0.52,0.85
22961,JAM MAKING SET PRINTED,General Merchandise,General Merchandise,2010-07-23,0.67,1.45
22752,SET 7 BABUSHKA NESTING BOXES,Storage,Storage,2010-08-06,4.54,8.5
22867,HAND WARMER BIRD DESIGN,Home Decor,Home Decor,2010-09-10,1.22,2.1
48111,DOORMAT 3 SMILEY CATS,Home Decor,Home Decor,2009-12-01,3.98,7.49
20971,PINK BLUE FELT CRAFT TRINKET BOX,Storage,Storage,2009-12-01,0.81,1.25
82600,NO SINGING METAL SIGN,Home Decor,Home Decor,2009-12-01,0.96,2.1
20711,JUMBO BAG TOYS ,Bags,Bags,2009-12-01,1.08,1.95
22507,MEMO BOARD RETROSPOT  DESIGN,Home Decor,Home Decor,2010-03-11,2.44,4.95
22551,PLASTERS IN TIN SPACEBOY,Storage,Storage,2010-03-25,1.05,1.65
22835,HOT WATER BOTTLE I AM SO POORLY,Home & Living,Home & Living,2010-09-12,2.57,4.65
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,General Merchandise,General Merchandise,2009-12-01,0.47,0.85
22149,FELTCRAFT 6 FLOWER FRIENDS,Garden & Outdoor,Garden & Outdoor,2009-12-01,0.97,2.1
22087,PAPER BUNTING WHITE LACE,Storage,Storage,2009-12-01,1.58,2.95
22084,PAPER CHAIN KIT EMPIRE,General Merchandise,General Merchandise,2009-12-02,1.64,2.95
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,Lighting & Candles,Lighting & Candles,2009-12-01,0.39,0.65
23173,REGENCY TEAPOT ROSES ,Kitchen & Dining,Kitchen & Dining,2011-05-10,5.81,9.95
22722,SET OF 6 SPICE TINS PANTRY DESIGN,Storage,Storage,2010-11-11,2.16,3.95
48173C,DOORMAT BLACK FLOCK ,Home Decor,Home Decor,2009-12-01,4.47,7.95
84836,ZINC METAL HEART DECORATION,Party & Decor,Party & Decor,2009-12-01,0.81,1.25
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Home Decor,Home Decor,2009-12-01,0.14,0.29
22728,ALARM CLOCK BAKELIKE PINK,Home Decor,Home Decor,2010-09-24,1.77,3.75
22698,PINK REGENCY TEACUP AND SAUCER,Kitchen & Dining,Kitchen & Dining,2010-08-11,1.83,2.95
21231,SWEETHEART CERAMIC TRINKET BOX,Storage,Storage,2009-12-01,0.67,1.25
21955,DOORMAT UNION JACK GUNS AND ROSES,Home Decor,Home Decor,2009-12-01,4.71,7.49
21481,FAWN BLUE HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,1.52,2.95
21790,VINTAGE SNAP CARDS,Stationery,Stationery,2009-12-01,0.5,0.85
47590A,BLUE HAPPY BIRTHDAY BUNTING,Storage,Storage,2009-12-02,2.82,5.45
23344,JUMBO BAG 50'S CHRISTMAS ,Seasonal & Christmas,Seasonal & Christmas,2011-06-15,1.05,2.08
22605,WOODEN CROQUET GARDEN SET,Garden & Outdoor,Garden & Outdoor,2010-04-08,6.33,12.75
20972,PINK CREAM FELT CRAFT TRINKET BOX ,Storage,Storage,2009-12-01,0.79,1.25
47566B,TEA TIME PARTY BUNTING,Storage,Storage,2009-12-01,2.31,4.95
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,Storage,Storage,2011-06-08,2.99,4.95
22607,WOODEN ROUNDERS GARDEN SET ,Garden & Outdoor,Garden & Outdoor,2010-04-08,5.46,8.5
22625,RED KITCHEN SCALES,Kitchen & Dining,Kitchen & Dining,2010-05-04,4.58,8.5
22554,PLASTERS IN TIN WOODLAND ANIMALS,Storage,Storage,2010-03-25,0.95,1.65
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,Home Decor,Home Decor,2009-12-01,4.11,8.5
84970S,HANGING HEART ZINC T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-01,0.42,0.85
84406B,CREAM CUPID HEARTS COAT HANGER,Kitchen & Dining,Kitchen & Dining,2009-12-01,1.91,3.25
21936,RED RETROSPOT PICNIC BAG,Bags,Bags,2009-12-02,1.36,2.95
21314,SMALL GLASS HEART TRINKET POT,General Merchandise,General Merchandise,2009-12-01,1.24,2.1
85014A,BLACK/BLUE POLKADOT UMBRELLA,General Merchandise,General Merchandise,2009-12-01,3.25,5.95
22556,PLASTERS IN TIN CIRCUS PARADE ,Storage,Storage,2010-03-25,0.99,1.65
20749,ASSORTED COLOUR MINI CASES,General Merchandise,General Merchandise,2009-12-01,3.68,7.95
22113,GREY HEART HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,2.31,3.75
22499,WOODEN UNION JACK BUNTING,Storage,Storage,2010-02-02,3.81,5.95
21791,VINTAGE HEADS AND TAILS CARD GAME ,Stationery,Stationery,2009-12-01,0.7,1.25
22585,PACK OF 6 BIRDY GIFT TAGS,Garden & Outdoor,Garden & Outdoor,2010-03-10,0.56,1.25
21210,SET OF 72 RETROSPOT PAPER  DOILIES,General Merchandise,General Merchandise,2009-12-01,0.68,1.45
23202,JUMBO BAG VINTAGE LEAF,Bags,Bags,2011-05-06,1.04,2.08
23209,LUNCH BAG VINTAGE DOILY ,Bags,Bags,2011-05-08,0.78,1.65
21213,PACK OF 72 SKULL CAKE CASES,General Merchandise,General Merchandise,2009-12-01,0.26,0.55
22969,HOMEMADE JAM SCENTED CANDLES,Lighting & Candles,Lighting & Candles,2010-11-21,0.79,1.45
22941,CHRISTMAS LIGHTS 10 REINDEER,Seasonal & Christmas,Seasonal & Christmas,2010-10-21,4.99,8.5
22456,NATURAL SLATE CHALKBOARD LARGE ,General Merchandise,General Merchandise,2010-03-04,2.45,4.95
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,General Merchandise,2009-12-01,1.94,3.75
23206,LUNCH BAG APPLE DESIGN,Bags,Bags,2011-04-11,0.95,1.65
48116,DOORMAT MULTICOLOUR STRIPE,Home Decor,Home Decor,2009-12-01,4.73,7.49
21218,RED SPOTTY BISCUIT TIN,Storage,Storage,2009-12-01,1.88,3.75
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Seasonal & Christmas,Seasonal & Christmas,2009-12-01,4.75,7.95
22294,HEART FILIGREE DOVE  SMALL,General Merchandise,General Merchandise,2009-12-01,0.58,1.25
22632,HAND WARMER RED RETROSPOT,Home & Living,Home & Living,2010-09-20,1.26,2.1
22356,CHARLOTTE BAG PINK POLKADOT,Bags,Bags,2009-12-01,0.53,0.85
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,Storage,Storage,2010-08-05,0.6,1.25
22424,ENAMEL BREAD BIN CREAM,General Merchandise,General Merchandise,2010-05-16,7.9,12.75
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,Storage,Storage,2009-12-01,1.57,2.55
20723,STRAWBERRY CHARLOTTE BAG,Bags,Bags,2009-12-01,0.45,0.85
85150,LADIES & GENTLEMEN METAL SIGN,Home Decor,Home Decor,2009-12-01,1.21,2.55
37449,CERAMIC CAKE STAND + HANGING CAKES,General Merchandise,General Merchandise,2009-12-01,6.08,9.95
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",General Merchandise,General Merchandise,2009-12-01,2.91,4.95
